firm_name,firm_name_id,firm_id_linkedin
#Angels,173,
#waywire,217,#���?
(RE)meter,290,3678019
(echo)witness,319,
.CO INTERNET,414,474926
0-In Design Automation,440,
1-800-DENTIST,528,1-800-dentist
1-800-DryClean,529,139898
10.10.10,572,2797768
1000 Angels,597,10291360
100Plus,619,2736508
1087systems,666,
10Power,680,10power
10Stories,683,7595052
10X Genomics,685,3684165
11 Below Brewing Company,707,5277448
12 Degree Entertainment,749,12-degree-entertainment
12 Labs,753,2351430
12+,764,2415930
"1251 Capital Group, Inc.",806,1251-capital-group-inc-
13Parsecs,854,
140 Proof,863,754458
1871,997,2460804
18F,1006,
1Apeiron,1044,3025564
1o.a.k.,1109,
"1spire, Inc.",1113,
1st Commercial Realty,1147,1st-commercial-realty
1stup.com,1215,
1up Events,1217,
2013,1383,
2020 Women on Boards,1398,2145275
205 Consulting,1410,
21 Drops,1439,21-drops
21.co,1452,6405300
219 Design,1481,219-design
220 bpm,1533,220-bpm
23db Productions,1562,23db-productions
"24outdoor, Inc.",1620,
26 Celsius,1636,26-celsius
280 North,1660,
2BoldlyCode,1685,2boldlycode
2C Media,1688,2c-media
2RedBeans.com,1766,2redbeans.com
"2Roam, Inc.",1769,
"2Seeds Network, Inc.",1773,2seeds-network-inc-
2Truths and a Lie,1782,6433510
2U,1783,435054
"2ndLine.tv, LLC",1868,3246755
360LifeCare,2196,
360imaging,2204,360imaging
360training,2210,21810
360training.com,2211,21810
3D Interactive Marketing,2325,
3DIcon,2392,3dicon
3Discovered,2425,3discovered
3GA Labs Inc.,2459,3ga-labs-inc.
3Gear Systems,2466,3gear-systems
3PLex,2535,
3Play Media,2543,3play-media
3Ware,2591,
3dfx Interactive,2624,3dfx
4.0 Schools,2798,1646974
42 Entertainment,2849,5621565
4SLICE Consulting,3058,
4th Strand,3131,2298953
500 Miles,3213,500-miles
501 Auctions,3223,501-auctions
5071,3230,5071co
510 Systems,3240,991583
52inc,3280,3233321
532 Solar,3290,551017
5Degrees,3341,2314125
"6 River Systems, Inc.",3432,6-river-systems-inc.
645 Ventures,3481,645-ventures
64labs,3485,64labs
"6connect, Inc",3527,6connect-inc
6sense,3536,6sense
700Credit,3582,700-credit
714 Design,3592,
79 Studios,3630,6643330
91springboard,3915,91springboard
98Lumens Inc.,3948,
9Mile Labs,3972,9mile-labs
9mmedia,3989,9mmedia
A Bite of Class,4205,
A Fine Line,4344,a-fine-line
A Robot,4625,
A&M Technical Services,4974,
A.Okay Official,5352,
A10 Capital,5448,a10-capital
"A2A Energy International, LLC",5481,9489312
A2B Consulting,5487,
AAA Pest Control,5627,
ABR Investment Strategy,6005,abr-investment-strategy
ACCIONA Energy North America,6162,acciona
ACE ENTERTAINMENT,6203,
ACE Portal,6226,ace-group-inc.
ACE Technosoft,6237,
ACI,6279,5063
ACN,6349,acn
"ACOMATech, LLC",6365,acomatech-llc
ACT Biotech,6419,5591007
ACTION MORTGAGE,6454,
ACV Auctions,6484,acv-auctions
ACZENT Inc.,6490,aczent-inc.
"AERO NAUTICS, Inc.",6845,
AESC,6867,50934
AFC Ann Arbor,6911,afc-ann-arbor
AGEA Corporation,7073,
"AGOGO Amalgamated, Inc.",7128,agogo-amalgamated-inc.
AHS,7228,
"AI Exchange, Inc.",7238,2120655
AIM Specialty Health,7348,21615
AIRSTAR MEXICO,7410,
AIS Network,7419,ais-network
AK Consulting,7558,
ALC Consulting,7687,
ALV Works,7940,alv-works
AM Technology,7980,2452200
AMD Consulting,8081,
AMPL Labs,8238,ampl-labs-inc-
ANACAPA,8339,5363004
AON Networks,8518,2041
APS Consulting,8735,
APT Life Sciences,8756,
APX Labs,8774,apx-labs
APrivateClub.com,8782,
AQT Solar,8796,aqt-solar
"ARC Solutions, Inc.",8889,arc-solutions-inc
"ARCADIA DATA, Inc.",8903,3835700
ARCU Capital Partners,8926,2954587
ASA International,9204,
ASH + AMES,9287,
"ASSIST Aviation Solutions, LLC",9410,assist-aviation-solutions-llc
ASSOCIATED BUILDERS & CONTRACTORS of SAGINAW VALLEY,9413,1350079
ASVAB Boot Camp,9445,6398212
AT&T Latin America,9479,1052
ATS,9679,accenture
ATX Hackerspace,9723,santa-barbara-hackerspace-inc.
ATÖLYE Labs,9742,at%C3%B6lye-i%CC%87stanbul
AUTO1,9779,auto1-group
AVD Digital Media,9850,avd-digital-media
AXG Tecnonexo,10019,axg-tecnonexo
AXN,10036,
"AXON Ghost Sentinel, Inc.",10039,axon-ghost-sentinel-inc-
"AXYS Innovations, LLC",10053,
